date,portfolio_return,cum_return,turnover
2006-01-02,0.0,1.0,0.0
2006-01-03,0.0,1.0,0.0
2006-01-04,0.0,1.0,0.0
2006-01-05,0.0,1.0,0.0
2006-01-06,0.0,1.0,0.0
2006-01-09,0.0,1.0,0.0
2006-01-10,0.0,1.0,0.0
2006-01-11,0.0,1.0,0.0
2006-01-12,0.0,1.0,0.0
2006-01-13,0.0,1.0,0.0
2006-01-16,0.0,1.0,0.0
2006-01-17,0.0,1.0,0.0
2006-01-18,0.0,1.0,0.0
2006-01-19,0.0,1.0,0.0
2006-01-20,0.0,1.0,0.0
2006-01-23,0.0,1.0,0.0
2006-01-24,0.0,1.0,0.0
2006-01-25,0.0,1.0,0.0
2006-01-26,0.0,1.0,0.0
2006-01-27,0.0,1.0,0.0
2006-01-31,0.0,1.0,0.0
2006-02-01,0.0,1.0,0.0
2006-02-02,0.0,1.0,0.0
2006-02-03,0.0,1.0,0.0
2006-02-06,0.0,1.0,0.0
2006-02-07,0.0,1.0,0.0
2006-02-08,0.0,1.0,0.0
2006-02-09,0.0,1.0,0.0
2006-02-10,0.0,1.0,0.0
2006-02-13,0.0,1.0,0.0
2006-02-14,0.0,1.0,0.0
2006-02-15,0.0,1.0,0.0
2006-02-16,0.0,1.0,0.0
2006-02-17,0.0,1.0,0.0
2006-02-20,0.0,1.0,0.0
2006-02-21,0.0,1.0,0.0
2006-02-22,0.0,1.0,0.0
2006-02-23,0.0,1.0,0.0
2006-02-24,0.0,1.0,0.0
2006-02-27,0.0,1.0,0.0
2006-02-28,0.0,1.0,0.0
2006-03-02,-0.001,0.999,1.0
2006-03-03,-0.03361986855167451,0.9654137513168771,0.0
2006-03-06,0.016250576355815224,0.981102281197606,0.0
2006-03-07,-0.025743393544854498,0.9558453790649815,0.0
2006-03-08,0.0010441905259005282,0.9568434637540268,0.0
2006-03-09,0.0035399866042437646,0.9602306767980744,0.0
2006-03-10,0.011736422997790444,0.9715003501964313,0.0
2006-03-13,-0.0001868977472032653,0.9713187789695724,0.0
2006-03-14,-0.010543210622589139,0.9610779605012202,0.0
2006-03-15,0.013275617558066702,0.973836863948321,0.0
2006-03-16,-0.0042394595007341496,0.9697083220032902,0.0
2006-03-17,0.009968428273322064,0.9793747898572235,0.0
2006-03-20,0.011390171641922537,0.990530036815469,0.0
2006-03-21,-0.009745820790693612,0.9808765085888663,0.0
2006-03-22,-0.023695904607911874,0.9576337524092029,0.0
2006-03-23,-0.0020072195972516407,0.9557115711743775,0.0
2006-03-24,0.00293164905598788,0.9585133820998076,0.0
2006-03-27,-0.002012811276451325,0.9565840755556876,0.0
2006-03-28,-0.0020569097946650213,0.9546164684012566,0.0
2006-03-29,0.0024510547058323217,0.9569562855883965,0.0
2006-03-30,0.014157693587975629,0.9705045794568444,0.0
2006-03-31,0.018218510601190528,0.9881857274261829,0.0
2006-04-03,0.022343722384130734,1.0102654749837539,1.2031760486195835
2006-04-04,0.0039033060039508384,1.0142088502778421,0.0
2006-04-05,0.004972127789125598,1.0192516262862859,0.0
2006-04-06,0.012215757484627755,1.0317025569688116,0.0
2006-04-07,0.0028780095039103422,1.0346718067329763,0.0
2006-04-10,0.011943941310493226,1.047029866068217,0.0
2006-04-11,-0.002658438092092058,1.044246401988703,0.0
2006-04-12,-0.004607568096260057,1.0394349655822654,0.0
2006-04-13,0.010608328212682795,1.0504616328529006,0.0
2006-04-14,0.01655011432705048,1.0678468929727962,0.0
2006-04-17,-0.007000138103778945,1.0603718172482954,0.0
2006-04-18,0.0018892677244256163,1.0623751434985131,0.0
2006-04-19,0.00752422255967891,1.070368690520067,0.0
2006-04-20,0.001778308068476728,1.0722721357986638,0.0
2006-04-21,0.01483403134859368,1.0881782542753247,0.0
2006-04-24,-0.01189755495753406,1.0752315936914905,0.0
2006-04-25,0.0022339916006449594,1.0776336520405452,0.0
2006-04-26,0.01412116175450865,1.0928510911531117,0.0
2006-04-27,0.002224909111401087,1.0952825855032229,0.0
2006-04-28,-0.02227227254487607,1.0708881532452386,0.0
2006-05-02,0.007726228526662243,1.0791620798437065,1.2027866246980439
2006-05-03,-0.0029268710810219797,1.0760035115604765,0.0
2006-05-04,-0.0017324612360019537,1.0741393771868961,0.0
2006-05-08,0.007362980286337147,1.0820482442459016,0.0
2006-05-09,0.002288458156138773,1.0845244663757818,0.0
2006-05-10,-0.0010493714959514979,1.0833863973141051,0.0
2006-05-11,0.014481050667613233,1.0990749706262135,0.0
2006-05-12,-0.010960758053207374,1.0870282757908436,0.0
2006-05-15,-0.016634666526125205,1.068945922918594,0.0
2006-05-16,-0.02568336101694641,1.0414917988726828,0.0
2006-05-17,0.007391193708703548,1.0491896665041769,0.0
2006-05-18,-0.033025623461001456,1.0145395236390362,0.0
2006-05-19,-0.0027437905124857486,1.0117558397195336,0.0
2006-05-22,-0.027022044028631682,0.9844161288724071,0.0
2006-05-23,0.0014316213706831084,0.985825440040146,0.0
2006-05-24,0.007019684041273551,0.9927456231490773,0.0
2006-05-25,-0.03235337600677944,0.9606269507242506,0.0
2006-05-26,0.019528255322950213,0.9793863190881008,0.0
2006-05-29,-0.0029211531097300945,0.9765253816964695,0.0
2006-05-30,-0.0080732810661668,0.9686416178217881,0.0
2006-06-01,-0.031659595156163026,0.9379748163501396,1.2581006761553342
2006-06-02,0.007934959873312553,0.9454176088800555,0.0
2006-06-05,-0.018216260049106623,0.928195635861692,0.0
2006-06-07,-0.04387951715792861,0.8874668595319845,0.0
2006-06-08,-0.023212767556848427,0.8668662976072622,0.0
2006-06-09,0.02590139374334783,0.889319342904426,0.0
2006-06-12,0.01252677204894659,0.9004596435917087,0.0
2006-06-13,-0.027687743610105352,0.8755279478486946,0.0
2006-06-14,0.021356030496269794,0.8942257494032879,0.0
2006-06-15,-0.0029905570976353924,0.8915515162415216,0.0
2006-06-16,0.033701914539597706,0.9215985092495422,0.0
2006-06-19,-0.01052392382735995,0.9118996767387915,0.0
2006-06-20,-0.027338786530417766,0.8869694461392726,0.0
2006-06-21,0.0009999397966245574,0.8878563621868573,0.0
2006-06-22,0.009654871129094255,0.8964285009449178,0.0
2006-06-23,-0.012805432998084095,0.8849493458384946,0.0
2006-06-26,0.009632231944768853,0.8934733831969824,0.0
2006-06-27,0.0007302238550440518,0.8941258187752397,0.0
2006-06-28,-0.012655976112162284,0.8828097837715527,0.0
2006-06-29,0.026430196880945226,0.9061426201650596,0.0
2006-06-30,0.027753109599134483,0.9312908956149475,0.0
2006-07-03,0.0024314272813184116,0.9335552617053892,0.9366413030461124
2006-07-04,-0.011194767394914042,0.9231043277002992,0.0
2006-07-05,-0.012398490445278137,0.9116592275133121,0.0
2006-07-06,-0.015341053386611452,0.8976734146336335,0.0
2006-07-07,0.005644197378217848,0.9027400605670044,0.0
2006-07-10,0.022529701835261606,0.9230785249663251,0.0
2006-07-11,-0.002681540213314442,0.920603252781581,0.0
2006-07-12,0.0034356399992481117,0.9237661141402753,0.0
2006-07-13,-0.005881550917963649,0.9183329367036699,0.0
2006-07-14,-0.02357965504706779,0.8966789628378365,0.0
2006-07-18,-0.02605841555798439,0.8733129298021057,0.0
2006-07-19,-0.002344612878109783,0.8712653490602719,0.0
2006-07-20,0.03371473698548529,0.900639831148406,0.0
2006-07-21,-0.0035805423075187127,0.8974150521291426,0.0
2006-07-24,0.0029459754329471694,0.9000588148258721,0.0
2006-07-25,0.0061256891995161225,0.9055722953867802,0.0
2006-07-26,-0.002824870488066862,0.903014170934731,0.0
2006-07-27,0.018084631873880767,0.9193448497929833,0.0
2006-07-28,0.012345945169903939,0.930695030900761,0.0
2006-07-31,-0.00031045867510396904,0.9304060885545418,0.0
2006-08-01,-0.012544722046296796,0.9187344027834429,0.7114881121096699
2006-08-02,0.01382601427367039,0.9314368377500387,0.0
2006-08-03,-0.003921458010895504,0.9277842473010006,0.0
2006-08-04,0.019580311736961273,0.9459505520877962,0.0
2006-08-07,-0.010025497446277332,0.9364669272435354,0.0
2006-08-08,0.0148319630140731,0.9503565700723143,0.0
2006-08-09,0.00497494016969595,0.9550845371483015,0.0
2006-08-10,-0.010631774532853423,0.9449302936895261,0.0
2006-08-11,-0.0050612660491963606,0.9401477500752182,0.0
2006-08-14,-0.001945026892766983,0.9383191374181475,0.0
2006-08-16,0.01611570885502373,0.9534408154498754,0.0
2006-08-17,0.00960269259033566,0.9625964145037195,0.0
2006-08-18,0.0055226354311577195,0.9679124835683631,0.0
2006-08-21,-0.006778436389153118,0.9613515503682278,0.0
2006-08-22,0.01681510971608357,0.9775167821633967,0.0
2006-08-23,-0.003993856151882714,0.9736127207493848,0.0
2006-08-24,-0.006630701599111414,0.9671569853249966,0.0
2006-08-25,0.008717496229266857,0.9755881726976764,0.0
2006-08-28,-0.0024040677635382844,0.9732427926212047,0.0
2006-08-29,0.010936694237147507,0.9838868514626105,0.0
